person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status
22.0,male,Associate,62947.0,0,MORTGAGE,3000.0,PERSONAL,11.83,0.05,2.0,639,Yes,0
28.0,male,Bachelor,73059.0,9,MORTGAGE,35000.0,EDUCATION,10.59,0.48,6.0,659,No,0
26.0,female,High School,58735.0,6,MORTGAGE,4500.0,DEBTCONSOLIDATION,5.55,0.08,3.0,622,Yes,0
33.0,male,Bachelor,61231.0,10,RENT,12000.0,PERSONAL,12.48,0.2,13.0,696,Yes,0
25.0,female,Master,39643.0,4,RENT,6211.0,HOMEIMPROVEMENT,7.57,0.16,6.0,578,No,1
23.0,male,Associate,97920.0,2,RENT,7200.0,VENTURE,9.25,0.07,3.0,670,Yes,0
31.0,female,Associate,51183.0,9,OWN,7200.0,HOMEIMPROVEMENT,9.99,0.14,8.0,645,Yes,0
25.0,female,Bachelor,84058.0,1,MORTGAGE,9600.0,HOMEIMPROVEMENT,7.49,0.11,3.0,609,Yes,0
27.0,male,Master,63563.0,3,MORTGAGE,7000.0,HOMEIMPROVEMENT,11.89,0.11,8.0,675,No,0
27.0,male,Bachelor,75462.0,7,MORTGAGE,9600.0,EDUCATION,13.8,0.13,7.0,662,Yes,0
35.0,female,Associate,41505.0,13,RENT,9250.0,PERSONAL,10.59,0.22,10.0,667,No,1
29.0,female,Bachelor,108528.0,1,MORTGAGE,15000.0,EDUCATION,6.99,0.14,8.0,699,No,0
44.0,female,High School,46997.0,19,RENT,1000.0,EDUCATION,14.07,0.02,12.0,659,Yes,0
23.0,male,Associate,79136.0,0,RENT,6200.0,PERSONAL,11.01,0.08,2.0,558,Yes,0
23.0,male,High School,27887.0,0,OWN,6000.0,PERSONAL,13.23,0.22,4.0,477,Yes,0
23.0,male,High School,35020.0,1,RENT,5500.0,MEDICAL,12.53,0.16,2.0,543,Yes,0
31.0,male,Bachelor,265772.0,7,MORTGAGE,14182.0,DEBTCONSOLIDATION,15.97,0.05,7.0,693,No,0
22.0,female,Bachelor,48989.0,1,MORTGAGE,4000.0,VENTURE,10.36,0.08,4.0,680,No,0
22.0,female,Associate,72947.0,2,RENT,18000.0,EDUCATION,9.33,0.25,3.0,631,Yes,0
40.0,female,Associate,82673.0,18,MORTGAGE,9200.0,PERSONAL,8.94,0.11,11.0,684,Yes,0
24.0,male,Associate,66938.0,0,RENT,23600.0,HOMEIMPROVEMENT,11.89,0.35,4.0,668,No,1
25.0,female,Associate,63441.0,0,RENT,6272.0,HOMEIMPROVEMENT,13.55,0.1,4.0,551,No,1
28.0,female,Bachelor,89202.0,6,OWN,10000.0,HOMEIMPROVEMENT,9.88,0.11,10.0,552,Yes,0
23.0,male,High School,79867.0,1,MORTGAGE,16800.0,PERSONAL,13.05,0.21,2.0,618,No,0
27.0,female,High School,108597.0,4,RENT,10000.0,VENTURE,7.49,0.09,9.0,616,No,0
22.0,female,Associate,51355.0,0,RENT,4000.0,VENTURE,13.94,0.08,4.0,653,No,0
24.0,male,High School,156665.0,0,MORTGAGE,15000.0,VENTURE,14.03,0.1,4.0,533,Yes,0
26.0,female,Associate,61701.0,2,RENT,15000.0,HOMEIMPROVEMENT,10.75,0.24,2.0,679,Yes,0
24.0,male,High School,25489.0,3,RENT,6033.0,EDUCATION,15.84,0.24,5.0,523,Yes,0
23.0,female,Associate,43779.0,1,MORTGAGE,11000.0,EDUCATION,11.01,0.25,3.0,683,No,0
25.0,female,Bachelor,66806.0,5,RENT,8525.0,HOMEIMPROVEMENT,14.36,0.13,3.0,610,Yes,0
26.0,female,Associate,69466.0,2,MORTGAGE,1797.0,DEBTCONSOLIDATION,13.33,0.03,4.0,605,Yes,0
22.0,male,Bachelor,228727.0,0,RENT,12600.0,EDUCATION,6.92,0.06,4.0,604,No,0
28.0,female,Bachelor,75055.0,6,RENT,13400.0,PERSONAL,13.06,0.18,6.0,596,Yes,0
35.0,male,Associate,87524.0,12,MORTGAGE,12913.0,HOMEIMPROVEMENT,6.43,0.15,10.0,678,No,0
23.0,female,High School,40632.0,0,RENT,20000.0,EDUCATION,16.0,0.49,2.0,649,No,1
23.0,female,Bachelor,93273.0,0,RENT,16000.0,DEBTCONSOLIDATION,11.14,0.17,3.0,583,Yes,0
23.0,female,Bachelor,94527.0,2,RENT,9600.0,PERSONAL,12.94,0.1,5.0,637,Yes,0
32.0,female,Associate,72553.0,8,OWN,8000.0,VENTURE,16.07,0.11,7.0,605,Yes,0
23.0,male,Bachelor,31302.0,0,RENT,5500.0,PERSONAL,9.18,0.18,4.0,514,Yes,0
31.0,female,Master,87425.0,8,OWN,16000.0,EDUCATION,11.01,0.18,7.0,526,Yes,0
23.0,male,Associate,48862.0,0,OWN,3000.0,EDUCATION,7.66,0.06,3.0,573,Yes,0
25.0,female,Bachelor,87577.0,3,RENT,10000.0,MEDICAL,10.37,0.11,4.0,697,No,0
26.0,female,Associate,90968.0,6,RENT,7000.0,DEBTCONSOLIDATION,8.9,0.08,4.0,674,No,0
25.0,female,Master,80194.0,3,RENT,17649.0,PERSONAL,15.32,0.22,4.0,590,No,1
26.0,male,Bachelor,67071.0,1,OWN,14500.0,VENTURE,12.73,0.22,2.0,566,Yes,0
31.0,male,Bachelor,78867.0,6,MORTGAGE,10000.0,DEBTCONSOLIDATION,13.61,0.13,6.0,552,Yes,0
25.0,female,Bachelor,71671.0,4,MORTGAGE,5200.0,MEDICAL,6.54,0.07,2.0,675,No,1
30.0,male,Associate,49201.0,6,RENT,8500.0,MEDICAL,12.53,0.17,8.0,626,Yes,0
21.0,female,Associate,24819.0,2,RENT,4500.0,PERSONAL,13.49,0.18,2.0,595,Yes,0
23.0,male,Master,115002.0,1,RENT,4000.0,EDUCATION,11.49,0.03,3.0,613,Yes,0
27.0,male,Associate,111203.0,6,MORTGAGE,25000.0,MEDICAL,16.23,0.22,8.0,667,No,1
35.0,female,Doctorate,180779.0,13,MORTGAGE,10000.0,HOMEIMPROVEMENT,7.9,0.06,9.0,714,Yes,0
30.0,male,Master,114864.0,4,RENT,6000.0,PERSONAL,11.69,0.05,7.0,605,Yes,0
26.0,female,High School,52903.0,3,RENT,4000.0,MEDICAL,11.91,0.08,4.0,614,Yes,0
25.0,male,Master,29630.0,0,MORTGAGE,1505.0,EDUCATION,10.91,0.05,4.0,696,Yes,0
23.0,female,Bachelor,65739.0,0,MORTGAGE,3000.0,DEBTCONSOLIDATION,10.6,0.05,4.0,569,Yes,0
23.0,male,Associate,37075.0,0,RENT,1000.0,VENTURE,7.49,0.03,3.0,613,Yes,0
20.0,female,High School,226402.0,0,MORTGAGE,2000.0,VENTURE,8.59,0.01,4.0,531,Yes,0
32.0,male,Associate,91052.0,8,MORTGAGE,5000.0,EDUCATION,12.61,0.05,10.0,556,Yes,0
26.0,male,Bachelor,67882.0,3,MORTGAGE,8000.0,HOMEIMPROVEMENT,11.14,0.12,4.0,634,Yes,0
25.0,male,Master,93823.0,6,MORTGAGE,6149.0,MEDICAL,6.01,0.07,5.0,582,Yes,0
26.0,male,Bachelor,65719.0,3,RENT,6600.0,PERSONAL,11.97,0.1,3.0,633,No,0
28.0,male,Bachelor,31047.0,7,MORTGAGE,6000.0,HOMEIMPROVEMENT,14.72,0.19,10.0,715,No,0
23.0,male,Bachelor,59068.0,0,RENT,4800.0,DEBTCONSOLIDATION,10.36,0.08,3.0,668,No,0
23.0,male,High School,102088.0,0,MORTGAGE,10000.0,DEBTCONSOLIDATION,7.63,0.1,3.0,550,Yes,0
22.0,female,Associate,51566.0,0,MORTGAGE,5000.0,MEDICAL,8.94,0.1,2.0,658,Yes,0
28.0,female,Associate,63259.0,7,RENT,5000.0,HOMEIMPROVEMENT,11.36,0.08,7.0,697,No,1
25.0,female,Associate,92136.0,0,MORTGAGE,14000.0,HOMEIMPROVEMENT,7.66,0.15,3.0,612,Yes,0
23.0,male,High School,72985.0,1,MORTGAGE,7200.0,DEBTCONSOLIDATION,11.01,0.1,4.0,552,No,0
28.0,female,Bachelor,34634.0,3,RENT,9529.0,DEBTCONSOLIDATION,8.15,0.28,5.0,654,No,1
25.0,male,Associate,51035.0,1,RENT,11500.0,VENTURE,13.79,0.23,3.0,668,Yes,0
42.0,male,High School,600928.0,17,OWN,24000.0,MEDICAL,18.43,0.04,11.0,667,No,1
24.0,male,Bachelor,42042.0,0,RENT,18500.0,MEDICAL,10.71,0.44,2.0,640,No,1
37.0,male,Bachelor,206229.0,14,RENT,16542.0,DEBTCONSOLIDATION,11.45,0.08,12.0,636,No,0
22.0,female,High School,26286.0,0,RENT,10775.0,DEBTCONSOLIDATION,15.37,0.41,2.0,639,No,1
25.0,male,Associate,241075.0,0,MORTGAGE,25000.0,VENTURE,14.57,0.1,5.0,613,Yes,0
30.0,male,Bachelor,69437.0,7,RENT,12000.0,DEBTCONSOLIDATION,5.42,0.17,7.0,700,No,0
23.0,male,Bachelor,84982.0,0,MORTGAGE,20000.0,EDUCATION,6.17,0.24,2.0,668,No,0
22.0,female,High School,78920.0,0,MORTGAGE,5500.0,MEDICAL,6.03,0.07,2.0,643,No,0
26.0,female,Bachelor,136943.0,2,MORTGAGE,13487.0,PERSONAL,10.03,0.1,4.0,643,No,1
32.0,female,Master,145315.0,9,MORTGAGE,5614.0,HOMEIMPROVEMENT,10.39,0.04,8.0,551,Yes,0
28.0,female,Bachelor,116071.0,5,MORTGAGE,4108.0,VENTURE,11.0,0.04,6.0,727,No,0
29.0,male,Doctorate,109465.0,8,MORTGAGE,12000.0,EDUCATION,7.17,0.11,8.0,715,No,0
26.0,female,Bachelor,113039.0,2,MORTGAGE,12000.0,VENTURE,10.33,0.11,5.0,631,Yes,0
33.0,male,Associate,60833.0,13,RENT,14000.0,DEBTCONSOLIDATION,10.62,0.23,9.0,607,Yes,0
22.0,female,Associate,109339.0,0,RENT,8000.0,PERSONAL,11.01,0.07,3.0,573,Yes,0
22.0,female,High School,45803.0,0,RENT,2400.0,PERSONAL,10.65,0.05,3.0,671,No,1
29.0,male,Master,34775.0,8,RENT,10000.0,MEDICAL,12.84,0.29,9.0,640,No,1
24.0,female,Bachelor,60160.0,0,RENT,7803.0,EDUCATION,15.49,0.13,2.0,702,No,1
30.0,male,Bachelor,55554.0,6,MORTGAGE,5000.0,HOMEIMPROVEMENT,7.29,0.09,8.0,652,Yes,0
23.0,female,Bachelor,90771.0,0,RENT,12000.0,PERSONAL,12.98,0.13,2.0,678,Yes,0
23.0,female,Associate,68063.0,2,RENT,5500.0,MEDICAL,7.76,0.08,4.0,668,Yes,0
28.0,female,Associate,116213.0,4,RENT,28000.0,HOMEIMPROVEMENT,7.9,0.24,10.0,563,Yes,0
21.0,female,High School,64408.0,3,RENT,11000.0,EDUCATION,10.37,0.17,4.0,617,Yes,0
31.0,male,High School,60688.0,11,MORTGAGE,4800.0,DEBTCONSOLIDATION,6.03,0.08,7.0,634,Yes,0
25.0,female,Bachelor,163004.0,3,RENT,24000.0,PERSONAL,10.99,0.15,2.0,662,No,0
31.0,male,High School,68434.0,10,RENT,7500.0,VENTURE,11.48,0.11,6.0,550,Yes,0
28.0,female,Master,43447.0,6,MORTGAGE,4000.0,DEBTCONSOLIDATION,12.01,0.09,4.0,651,Yes,0
23.0,male,Bachelor,120903.0,0,MORTGAGE,15000.0,DEBTCONSOLIDATION,11.34,0.12,2.0,565,Yes,0
22.0,male,High School,104910.0,0,MORTGAGE,24000.0,PERSONAL,13.85,0.23,2.0,632,No,0
22.0,male,Bachelor,61078.0,0,RENT,6000.0,DEBTCONSOLIDATION,10.25,0.1,3.0,659,Yes,0
28.0,female,Associate,38482.0,6,RENT,6000.0,PERSONAL,15.33,0.16,9.0,567,Yes,0
23.0,male,High School,91246.0,0,RENT,5000.0,VENTURE,11.04,0.05,3.0,670,Yes,0
37.0,male,High School,63413.0,16,RENT,14965.0,EDUCATION,18.02,0.24,15.0,595,No,1
24.0,male,High School,163035.0,2,RENT,24000.0,HOMEIMPROVEMENT,13.79,0.15,2.0,636,Yes,0
29.0,male,Associate,90915.0,7,OWN,5000.0,EDUCATION,15.62,0.05,10.0,575,Yes,0
43.0,male,High School,78743.0,21,OWN,15000.0,MEDICAL,11.71,0.19,13.0,615,Yes,0
26.0,female,High School,86190.0,1,MORTGAGE,4400.0,DEBTCONSOLIDATION,5.42,0.05,4.0,677,No,0
29.0,female,Associate,53840.0,7,MORTGAGE,24000.0,MEDICAL,6.91,0.45,8.0,680,Yes,0
21.0,male,High School,58562.0,0,RENT,10000.0,DEBTCONSOLIDATION,5.79,0.17,2.0,583,Yes,0
48.0,female,Master,53545.0,26,RENT,5850.0,MEDICAL,9.99,0.11,13.0,741,Yes,0
30.0,male,Bachelor,39564.0,5,MORTGAGE,6500.0,VENTURE,11.01,0.16,5.0,595,Yes,0
23.0,female,Associate,92393.0,0,RENT,7000.0,PERSONAL,14.96,0.08,4.0,603,No,1
24.0,male,Bachelor,119457.0,3,MORTGAGE,10000.0,VENTURE,8.59,0.08,3.0,571,No,0
24.0,male,Bachelor,73355.0,2,RENT,6000.0,HOMEIMPROVEMENT,11.48,0.08,2.0,688,Yes,0
24.0,male,Bachelor,80261.0,0,RENT,11875.0,DEBTCONSOLIDATION,14.09,0.15,3.0,619,No,1
32.0,female,Associate,108894.0,11,MORTGAGE,8000.0,EDUCATION,7.96,0.07,6.0,649,Yes,0
29.0,female,Bachelor,34082.0,6,RENT,7500.0,EDUCATION,6.62,0.22,9.0,654,Yes,0
33.0,male,Associate,172604.0,8,MORTGAGE,10000.0,HOMEIMPROVEMENT,6.99,0.06,7.0,649,No,0
35.0,female,High School,53638.0,11,MORTGAGE,15000.0,MEDICAL,7.51,0.28,6.0,642,No,1
25.0,male,Master,46571.0,4,RENT,4800.0,MEDICAL,11.71,0.1,4.0,666,Yes,0
31.0,female,Master,104135.0,9,MORTGAGE,5000.0,DEBTCONSOLIDATION,10.72,0.05,8.0,548,Yes,0
26.0,male,High School,42863.0,1,RENT,3869.0,VENTURE,6.87,0.09,3.0,607,Yes,0
28.0,male,Bachelor,102988.0,7,RENT,8000.0,EDUCATION,11.71,0.08,6.0,666,No,0
26.0,female,Bachelor,28088.0,6,RENT,2500.0,PERSONAL,6.76,0.09,4.0,688,No,1
22.0,female,Associate,48892.0,1,RENT,12800.0,MEDICAL,8.9,0.26,2.0,530,No,1
27.0,male,Master,58006.0,4,RENT,2500.0,DEBTCONSOLIDATION,7.88,0.04,5.0,536,Yes,0
26.0,male,High School,57108.0,4,RENT,14000.0,MEDICAL,10.27,0.25,5.0,646,Yes,0
36.0,female,Associate,130481.0,13,MORTGAGE,14000.0,EDUCATION,8.9,0.11,12.0,602,Yes,0
23.0,male,Bachelor,87391.0,3,RENT,14000.0,VENTURE,10.75,0.16,3.0,610,Yes,0
24.0,female,High School,43450.0,6,RENT,12000.0,VENTURE,7.29,0.28,4.0,574,No,1
21.0,male,Associate,35323.0,0,MORTGAGE,3000.0,EDUCATION,10.75,0.08,2.0,578,Yes,0
27.0,male,High School,159011.0,5,MORTGAGE,10141.0,MEDICAL,9.53,0.06,5.0,580,Yes,0
31.0,male,Master,66800.0,5,RENT,8000.0,MEDICAL,13.16,0.12,5.0,688,No,0
29.0,female,Master,37967.0,6,RENT,5000.0,DEBTCONSOLIDATION,9.63,0.13,8.0,677,No,0
31.0,male,Associate,100168.0,7,MORTGAGE,12000.0,VENTURE,6.62,0.12,8.0,640,Yes,0
26.0,male,Bachelor,84544.0,4,MORTGAGE,7500.0,MEDICAL,11.01,0.09,3.0,654,Yes,0
21.0,male,High School,21363.0,2,MORTGAGE,6000.0,VENTURE,10.39,0.28,4.0,671,No,1
24.0,male,High School,30863.0,0,RENT,5000.0,VENTURE,7.14,0.16,2.0,582,Yes,0
23.0,male,Associate,10715.0,3,RENT,1000.0,MEDICAL,10.0,0.09,4.0,608,Yes,0
29.0,male,Bachelor,89726.0,8,RENT,30750.0,DEBTCONSOLIDATION,11.01,0.34,6.0,632,No,1
24.0,male,Bachelor,37331.0,0,RENT,10000.0,MEDICAL,14.9,0.27,4.0,663,No,1
27.0,female,Master,157127.0,7,MORTGAGE,8000.0,PERSONAL,13.35,0.05,7.0,718,Yes,0
56.0,male,Associate,72214.0,31,RENT,10000.0,DEBTCONSOLIDATION,13.61,0.14,20.0,681,Yes,0
22.0,female,Bachelor,54842.0,0,RENT,2500.0,MEDICAL,14.35,0.05,2.0,595,Yes,0
35.0,male,Bachelor,48888.0,10,RENT,16750.0,MEDICAL,14.09,0.34,6.0,672,No,1
26.0,female,High School,85181.0,1,RENT,11000.0,DEBTCONSOLIDATION,6.74,0.13,4.0,566,Yes,0
37.0,female,Master,46631.0,16,RENT,6000.0,PERSONAL,13.26,0.13,17.0,697,No,0
43.0,female,High School,57102.0,19,MORTGAGE,7500.0,EDUCATION,6.94,0.13,12.0,656,No,0
25.0,female,Associate,75518.0,3,MORTGAGE,3000.0,HOMEIMPROVEMENT,12.99,0.04,2.0,675,No,0
25.0,female,Associate,64605.0,3,MORTGAGE,10800.0,VENTURE,7.51,0.17,2.0,627,Yes,0
24.0,female,Bachelor,160544.0,2,RENT,17400.0,HOMEIMPROVEMENT,11.71,0.11,3.0,689,Yes,0
32.0,male,Associate,102979.0,12,MORTGAGE,6000.0,DEBTCONSOLIDATION,12.99,0.06,7.0,599,Yes,0
26.0,male,Associate,61296.0,4,MORTGAGE,24000.0,HOMEIMPROVEMENT,9.91,0.39,3.0,661,Yes,0
25.0,female,Associate,73034.0,3,MORTGAGE,8000.0,EDUCATION,11.01,0.11,3.0,705,No,0
24.0,male,Associate,84736.0,5,MORTGAGE,16000.0,EDUCATION,13.86,0.19,4.0,654,No,0
44.0,female,Doctorate,113791.0,22,MORTGAGE,4400.0,DEBTCONSOLIDATION,7.29,0.04,13.0,722,Yes,0
23.0,male,Bachelor,58600.0,0,RENT,5000.0,DEBTCONSOLIDATION,6.17,0.09,4.0,665,Yes,0
34.0,male,High School,81375.0,13,MORTGAGE,16000.0,VENTURE,13.22,0.2,8.0,577,Yes,0
23.0,male,Associate,94467.0,1,RENT,14400.0,VENTURE,14.27,0.15,4.0,649,Yes,0
23.0,male,Associate,27680.0,0,RENT,3200.0,MEDICAL,12.69,0.12,4.0,642,No,0
32.0,female,Bachelor,122588.0,9,RENT,15000.0,DEBTCONSOLIDATION,17.58,0.12,5.0,620,No,1
21.0,male,Master,64492.0,1,MORTGAGE,12000.0,PERSONAL,13.24,0.19,2.0,530,Yes,0
26.0,female,High School,93411.0,7,MORTGAGE,22000.0,HOMEIMPROVEMENT,7.09,0.24,4.0,611,Yes,0
27.0,female,Master,121022.0,6,MORTGAGE,7600.0,DEBTCONSOLIDATION,6.03,0.06,9.0,629,Yes,0
23.0,female,Master,102831.0,1,MORTGAGE,14000.0,PERSONAL,11.01,0.14,3.0,658,Yes,0
23.0,female,Associate,100820.0,0,RENT,10000.0,MEDICAL,6.54,0.1,3.0,532,Yes,0
22.0,male,Associate,86223.0,0,RENT,1800.0,EDUCATION,11.12,0.02,4.0,657,No,0
25.0,male,Bachelor,29785.0,7,RENT,4000.0,VENTURE,7.75,0.13,3.0,627,No,0
29.0,male,Associate,90766.0,9,RENT,7000.0,HOMEIMPROVEMENT,11.71,0.08,9.0,632,Yes,0
23.0,male,Bachelor,29937.0,1,RENT,3600.0,EDUCATION,16.49,0.12,3.0,596,No,1
26.0,male,Associate,66815.0,1,MORTGAGE,11300.0,MEDICAL,7.29,0.17,4.0,552,Yes,0
21.0,male,Bachelor,71970.0,0,RENT,5000.0,MEDICAL,14.22,0.07,3.0,716,No,1
27.0,male,Associate,76761.0,0,MORTGAGE,1700.0,EDUCATION,8.49,0.02,5.0,607,Yes,0
27.0,female,Bachelor,91098.0,6,MORTGAGE,18050.0,MEDICAL,10.0,0.2,10.0,674,Yes,0
25.0,female,Associate,72702.0,4,OWN,1400.0,HOMEIMPROVEMENT,14.22,0.02,3.0,674,Yes,0
28.0,female,Master,108192.0,4,RENT,5000.0,HOMEIMPROVEMENT,15.2,0.05,6.0,691,No,0
30.0,male,Master,99764.0,6,RENT,12000.0,DEBTCONSOLIDATION,8.02,0.12,7.0,612,No,0
33.0,female,Associate,41995.0,8,RENT,8000.0,DEBTCONSOLIDATION,9.99,0.19,5.0,566,Yes,0
28.0,male,Master,121078.0,2,RENT,20000.0,VENTURE,11.22,0.17,9.0,644,No,0
22.0,female,Associate,44171.0,0,MORTGAGE,10000.0,DEBTCONSOLIDATION,5.42,0.23,3.0,604,Yes,0
35.0,male,Bachelor,32052.0,16,OWN,6000.0,PERSONAL,9.63,0.19,6.0,697,No,0
36.0,male,Associate,43382.0,12,MORTGAGE,12000.0,DEBTCONSOLIDATION,8.9,0.28,17.0,704,No,0
23.0,male,Associate,80153.0,3,MORTGAGE,13200.0,EDUCATION,11.14,0.16,4.0,671,No,0
24.0,male,Associate,102926.0,1,MORTGAGE,7000.0,DEBTCONSOLIDATION,12.69,0.07,3.0,608,Yes,0
25.0,male,High School,54981.0,1,RENT,14500.0,PERSONAL,11.81,0.26,3.0,620,No,1
27.0,female,Associate,38179.0,3,RENT,2600.0,MEDICAL,14.74,0.07,5.0,619,No,1
24.0,male,Bachelor,47969.0,3,MORTGAGE,5600.0,DEBTCONSOLIDATION,5.42,0.12,4.0,691,Yes,0
21.0,male,Associate,55136.0,0,RENT,12000.0,MEDICAL,11.49,0.22,3.0,641,Yes,0
23.0,female,Master,62721.0,1,MORTGAGE,16000.0,VENTURE,10.91,0.26,3.0,665,Yes,0
22.0,male,High School,49672.0,0,OWN,10000.0,VENTURE,12.61,0.2,2.0,593,No,0
22.0,male,High School,54922.0,0,MORTGAGE,6500.0,MEDICAL,10.65,0.12,4.0,611,Yes,0
40.0,male,High School,52490.0,21,OWN,15000.0,EDUCATION,16.0,0.29,17.0,677,No,0
24.0,female,Bachelor,52508.0,1,MORTGAGE,9250.0,DEBTCONSOLIDATION,13.11,0.18,2.0,646,No,0
30.0,male,Bachelor,68161.0,10,RENT,4800.0,HOMEIMPROVEMENT,13.92,0.07,9.0,667,Yes,0
39.0,female,High School,47159.0,20,RENT,10850.0,VENTURE,10.99,0.23,14.0,677,No,0
25.0,female,High School,36757.0,3,RENT,4800.0,DEBTCONSOLIDATION,11.22,0.13,3.0,677,Yes,0
31.0,female,Associate,102863.0,7,MORTGAGE,3724.0,PERSONAL,6.59,0.04,6.0,691,No,0
26.0,female,Master,95695.0,3,RENT,11500.0,HOMEIMPROVEMENT,11.99,0.12,3.0,606,Yes,0
21.0,male,Bachelor,18064.0,0,OWN,6250.0,VENTURE,14.72,0.35,2.0,580,No,1
23.0,female,Bachelor,130858.0,1,MORTGAGE,4000.0,DEBTCONSOLIDATION,11.01,0.03,2.0,567,No,1
22.0,female,High School,18001.0,0,RENT,4000.0,HOMEIMPROVEMENT,7.29,0.22,4.0,635,No,1
23.0,male,Bachelor,84808.0,1,MORTGAGE,15000.0,VENTURE,8.49,0.18,2.0,640,Yes,0
28.0,male,Bachelor,97264.0,8,MORTGAGE,15000.0,HOMEIMPROVEMENT,14.17,0.15,8.0,656,Yes,0
30.0,male,High School,64463.0,7,RENT,2400.0,PERSONAL,9.62,0.04,7.0,643,Yes,0
25.0,female,Master,60978.0,1,RENT,8000.0,VENTURE,7.9,0.13,4.0,591,Yes,0
23.0,male,Associate,74731.0,0,MORTGAGE,7174.0,PERSONAL,10.99,0.1,4.0,629,Yes,0
24.0,female,Bachelor,97131.0,3,RENT,6400.0,MEDICAL,7.49,0.07,4.0,650,Yes,0
33.0,female,High School,198936.0,9,MORTGAGE,7757.0,DEBTCONSOLIDATION,11.07,0.04,8.0,525,No,0
59.0,female,Bachelor,66850.0,38,MORTGAGE,1000.0,PERSONAL,10.59,0.01,29.0,693,No,0
50.0,male,High School,180681.0,27,RENT,14000.0,DEBTCONSOLIDATION,6.91,0.08,12.0,634,Yes,0
30.0,female,High School,48885.0,7,RENT,3000.0,MEDICAL,7.14,0.06,7.0,683,No,0
25.0,male,Bachelor,87815.0,3,MORTGAGE,11249.0,MEDICAL,7.23,0.13,5.0,531,Yes,0
47.0,female,High School,91062.0,23,RENT,15000.0,HOMEIMPROVEMENT,13.48,0.16,17.0,575,Yes,0
27.0,male,High School,39411.0,3,MORTGAGE,14125.0,VENTURE,10.65,0.36,8.0,629,No,0
27.0,male,High School,65971.0,2,RENT,6000.0,VENTURE,14.59,0.09,5.0,629,Yes,0
23.0,female,Bachelor,25808.0,0,RENT,4200.0,EDUCATION,11.01,0.16,3.0,644,Yes,0
25.0,male,Bachelor,88572.0,2,MORTGAGE,20000.0,PERSONAL,13.22,0.23,2.0,609,No,0
35.0,female,Master,115264.0,16,MORTGAGE,12000.0,PERSONAL,14.84,0.1,9.0,653,Yes,0
32.0,female,Associate,54791.0,9,MORTGAGE,4000.0,EDUCATION,7.49,0.07,5.0,548,Yes,0
23.0,male,Bachelor,124530.0,0,MORTGAGE,4000.0,DEBTCONSOLIDATION,13.49,0.03,2.0,651,No,0
40.0,female,High School,85135.0,15,MORTGAGE,16000.0,HOMEIMPROVEMENT,12.08,0.19,12.0,706,Yes,0
35.0,female,Master,101867.0,13,RENT,7000.0,EDUCATION,7.29,0.07,8.0,698,Yes,0
30.0,male,Bachelor,37188.0,9,RENT,6500.0,HOMEIMPROVEMENT,15.65,0.17,6.0,659,No,1
29.0,male,High School,89960.0,6,MORTGAGE,25000.0,VENTURE,11.49,0.28,6.0,549,Yes,0
22.0,female,Associate,45759.0,0,RENT,10000.0,EDUCATION,6.92,0.22,2.0,678,Yes,0
27.0,male,High School,39067.0,4,RENT,9400.0,MEDICAL,6.91,0.24,5.0,686,Yes,0
24.0,male,Master,69299.0,0,MORTGAGE,14118.0,VENTURE,13.76,0.2,4.0,640,No,0
23.0,female,Bachelor,133195.0,1,RENT,22000.0,PERSONAL,11.01,0.17,3.0,643,Yes,0
27.0,female,Associate,123590.0,3,MORTGAGE,25000.0,EDUCATION,15.57,0.2,10.0,701,No,0
25.0,female,Bachelor,56007.0,4,RENT,3466.0,DEBTCONSOLIDATION,12.49,0.06,3.0,676,No,1
25.0,female,Master,22958.0,3,RENT,4500.0,EDUCATION,13.61,0.2,2.0,596,No,1
23.0,male,High School,57614.0,0,RENT,5000.0,DEBTCONSOLIDATION,10.25,0.09,2.0,682,Yes,0
25.0,male,Associate,48990.0,0,RENT,13293.0,PERSONAL,15.25,0.27,4.0,676,No,1
22.0,male,Bachelor,142514.0,0,RENT,19550.0,PERSONAL,15.62,0.14,4.0,608,No,1
29.0,male,Master,88255.0,11,MORTGAGE,7000.0,MEDICAL,13.79,0.08,8.0,683,Yes,0
49.0,female,Associate,72865.0,26,OWN,7000.0,PERSONAL,11.01,0.1,13.0,647,Yes,0
25.0,female,High School,35413.0,2,MORTGAGE,12469.0,VENTURE,7.34,0.35,6.0,581,Yes,0
30.0,female,High School,169125.0,6,MORTGAGE,5000.0,PERSONAL,8.9,0.03,6.0,614,Yes,0
23.0,male,Associate,44191.0,2,RENT,1200.0,PERSONAL,13.99,0.03,3.0,641,Yes,0
23.0,female,High School,74988.0,0,RENT,8400.0,MEDICAL,13.94,0.11,4.0,658,No,0
22.0,female,High School,96693.0,0,MORTGAGE,10000.0,DEBTCONSOLIDATION,8.32,0.1,2.0,653,Yes,0
33.0,male,Associate,44629.0,10,RENT,15000.0,PERSONAL,11.14,0.34,10.0,662,No,1
23.0,female,Bachelor,199013.0,2,RENT,9744.0,PERSONAL,7.79,0.05,4.0,662,Yes,0
27.0,male,Bachelor,59378.0,8,RENT,10000.0,EDUCATION,15.65,0.17,9.0,696,Yes,0
